occlusion_level,keypoint,precision,recall,f1_score
level 7,2.0,0.7192090395480226,0.508589692369157,0.5958343084483969
level 7,3.0,0.6406779661016949,0.4796954314720812,0.548621190130624
level 7,4.0,0.5406779661016949,0.4375857338820302,0.48369977255496593
level 7,5.0,0.9350282485875706,0.5736568457538995,0.7110633727175081
level 7,6.0,0.8870056497175142,0.5607142857142857,0.6870897155361051
level 7,7.0,0.86045197740113,0.553214674900109,0.6734468273269955
level 7,8.0,0.8288135593220339,0.5439377085650723,0.656816655473472
level 7,9.0,0.9943502824858758,0.5886287625418061,0.7394957983193277
level 7,10.0,0.9954802259887006,0.588903743315508,0.7400251994960101
level 7,11.0,0.9926553672316384,0.5882156009373953,0.7387008618877443
level 7,12.0,0.9779661016949153,0.5845997973657548,0.7317691819911224
level 7,13.0,0.9932203389830508,0.5883534136546185,0.7389659520807063
level 7,14.0,0.9954802259887006,0.588903743315508,0.7400251994960101
level 7,15.0,0.984180790960452,0.5861372812920592,0.7347110923660902
level 7,16.0,0.9638418079096045,0.5810626702997275,0.7250318742031449
level 7,17.0,0.9180790960451978,0.5691768826619965,0.7027027027027027
level 7,18.0,0.8598870056497175,0.5530523255813954,0.6731534719150818
level 7,19.0,0.8338983050847457,0.5454545454545454,0.6595174262734583
level 7,20.0,0.8163841807909604,0.5401869158878505,0.6501687289088864
level 8,0.0,0.9589308996088657,0.5008512087163772,0.6580183404160143
level 8,1.0,0.909387222946545,0.4875917511359664,0.6348122866894198
level 8,2.0,0.6883963494132985,0.41871530531324347,0.5207100591715976
level 8,3.0,0.5984354628422425,0.3850671140939597,0.46860643185298617
level 8,4.0,0.4954367666232073,0.3414195867026056,0.4042553191489362
level 8,5.0,0.9165580182529335,0.4895543175487465,0.6382206082614615
level 8,6.0,0.8565840938722294,0.47266187050359715,0.6091794158553547
level 8,7.0,0.8239895697522817,0.463003663003663,0.5928705440900564
level 8,8.0,0.7907431551499348,0.45278088839119074,0.5758366959411346
level 8,9.0,0.9928292046936115,0.5095349615255939,0.6734468273269953
level 8,10.0,0.9928292046936115,0.5095349615255939,0.6734468273269953
level 8,11.0,0.9869621903520208,0.5080536912751678,0.670801949490474
level 8,12.0,0.9634941329856584,0.5020380434782609,0.6601161232693167
level 8,13.0,0.9915254237288136,0.5092065617676599,0.6728599867285999
level 8,14.0,0.9973924380704041,0.5106809078771696,0.675496688741722
level 8,15.0,0.9863102998696219,0.5078885532057738,0.6705074230002217
level 8,16.0,0.9615384615384616,0.5015300918055083,0.659217877094972
level 8,17.0,0.910039113428944,0.48777078965758214,0.6351228389444951
level 8,18.0,0.8578878748370273,0.47304097771387493,0.6098239110287303
level 8,19.0,0.8265971316818774,0.4637893196781273,0.5941893158388004
level 8,20.0,0.8024771838331161,0.4564330737856878,0.5818955329709289
level 9,0.0,0.9601250977326036,0.4164123431671753,0.5808893093661306
level 9,1.0,0.8795934323690383,0.39529163738580464,0.5454545454545454
level 9,2.0,0.6278342455043002,0.3181458003169572,0.42229818564291344
level 9,3.0,0.5645035183737295,0.29553827261563653,0.3879634605051048
level 9,4.0,0.45269741985926504,0.25173913043478263,0.3235540653813914
level 9,5.0,0.8772478498827209,0.3946535349982413,0.5443959243085881
level 9,6.0,0.799061767005473,0.3725847612103536,0.5082048731974143
level 9,7.0,0.7482408131352619,0.3573562359970127,0.48369977255496593
level 9,8.0,0.7021110242376857,0.3428789614356625,0.4607491021036429
level 9,9.0,0.9874902267396404,0.4232573726541555,0.5925404644616467
level 9,10.0,0.980453479280688,0.4215126050420168,0.5895627644569817
level 9,11.0,0.9773260359655981,0.4207337596768765,0.5882352941176471
level 9,12.0,0.944487881157154,0.4124274496415159,0.5741444866920152
level 9,13.0,0.9929632525410477,0.42460715479772654,0.594847775175644
level 9,14.0,0.9937451133698202,0.4247994652406417,0.5951767735893233
level 9,15.0,0.9757623143080532,0.4203435500168407,0.5875706214689266
level 9,16.0,0.9515246286161063,0.41422736555479917,0.5771875741048138
level 9,17.0,0.90852228303362,0.4030523759972251,0.5583853916386352
level 9,18.0,0.8405003909304144,0.3844778254649499,0.5276073619631901
level 9,19.0,0.8076622361219703,0.37509077705156135,0.5122737416315398
level 9,20.0,0.777951524628616,0.36634756995581735,0.4981226533166458
level 10,0.0,0.9561920808761584,0.3850067842605156,0.5489721886336154
level 10,1.0,0.8668913226621735,0.3620689655172414,0.5107967237527923
level 10,2.0,0.6175231676495366,0.28790259230164966,0.39271363514599517
level 10,3.0,0.5560235888795282,0.26688232915487264,0.36065573770491804
level 10,4.0,0.44144903117101936,0.22421908429610612,0.2973893303064699
level 10,5.0,0.8618365627632687,0.36071932299012693,0.5085756897837435
level 10,6.0,0.776748104465038,0.33711151736745887,0.4701682814890362
level 10,7.0,0.7278854254422915,0.32274934628315277,0.4472049689440994
level 10,8.0,0.6815501263689975,0.30854309687261633,0.4247834077185614
